year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,"""for their discoveries concerning the peptide hormone production of the brain""",1.אפר׳,412,Individual,Andrew V. Schally,30.11.1926,Wilno (Vilnius),Poland (Lithuania),Lithuania,Male,Veterans Administration Hospital,"New Orleans, LA",United States of America,NA,NA,NA,NA,
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,"""for the development of radioimmunoassays of peptide hormones""",1.פבר׳,413,Individual,Rosalyn Yalow,19.7.1921,"New York, NY",United States of America,United States of America,Female,Veterans Administration Hospital,"Bronx, NY",United States of America,30.5.2011,"New York, NY",United States of America,United States of America,
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",1.מרץ,414,Individual,Werner Arber,3.6.1929,Gränichen,Switzerland,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland,NA,NA,NA,NA,
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",1.מרץ,416,Individual,Hamilton O. Smith,23.8.1931,"New York, NY",United States of America,United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,NA,NA,NA,NA,
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",1.מרץ,415,Individual,Daniel Nathans,30.10.1928,"Wilmington, DE",United States of America,United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,16.11.1999,"Baltimore, MD",United States of America,United States of America,
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",1.פבר׳,418,Individual,Godfrey N. Hounsfield,28.8.1919,Newark,United Kingdom,United Kingdom,Male,"Central Research Laboratories, EMI",London,United Kingdom,12.8.2004,Kingston upon Thames,United Kingdom,United Kingdom,
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",1.פבר׳,417,Individual,Allan M. Cormack,23.2.1924,Johannesburg,South Africa,South Africa,Male,Tufts University,"Medford, MA",United States of America,7.5.1998,"Winchester, MA",United States of America,United States of America,
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",1.מרץ,420,Individual,Jean Dausset,19.10.1916,Toulouse,France,France,Male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France,6.6.2009,"Palma, Majorca",Spain,Spain,
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",1.מרץ,421,Individual,George D. Snell,19.12.1903,"Bradford, MA",United States of America,United States of America,Male,Jackson Laboratory,"Bar Harbor, ME",United States of America,6.6.1996,"Bar Harbor, ME",United States of America,United States of America,
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",1.מרץ,419,Individual,Baruj Benacerraf,29.10.1920,Caracas,Venezuela,Venezuela,Male,Harvard Medical School,"Boston, MA",United States of America,2.8.2011,"Boston, MA",United States of America,United States of America,
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",1.אפר׳,424,Individual,Torsten N. Wiesel,3.6.1924,Uppsala,Sweden,Sweden,Male,Harvard Medical School,"Boston, MA",United States of America,NA,NA,NA,NA,
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",1.אפר׳,423,Individual,David H. Hubel,27.2.1926,"Windsor, ON",Canada,Canada,Male,Harvard Medical School,"Boston, MA",United States of America,22.9.2013,"Lincoln, MA",United States of America,United States of America,
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",1.פבר׳,422,Individual,Roger W. Sperry,20.8.1913,"Hartford, CT",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,17.4.1994,"Pasadena, CA",United States of America,United States of America,
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",1.מרץ,426,Individual,Bengt I. Samuelsson,21.5.1934,Halmstad,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,NA,NA,NA,NA,
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",1.מרץ,425,Individual,Sune K. Bergström,10.1.1916,Stockholm,Sweden,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,15.8.2004,Stockholm,Sweden,Sweden,
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",1.מרץ,427,Individual,John R. Vane,29.3.1927,Tardebigg,United Kingdom,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom,19.11.2004,Farnborough,United Kingdom,United Kingdom,
1983,Medicine,The Nobel Prize in Physiology or Medicine 1983,"""for her discovery of mobile genetic elements""",1.ינו׳,428,Individual,Barbara McClintock,16.6.1902,"Hartford, CT",United States of America,United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America,2.9.1992,"Huntington, NY",United States of America,United States of America,
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",1.מרץ,429,Individual,Niels K. Jerne,23.12.1911,London,United Kingdom,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland,7.10.1994,Castillon-du-Gard,France,France,
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",1.מרץ,430,Individual,Georges J.F. Köhler,17.4.1946,Munich,Germany,Germany,Male,Basel Institute for Immunology,Basel,Switzerland,1.3.1995,Freiburg im Breisgau,Germany,Germany,
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",1.מרץ,431,Individual,César Milstein,8.10.1927,Bahia Blanca,Argentina,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,24.3.2002,Cambridge,United Kingdom,United Kingdom,
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",1.פבר׳,432,Individual,Michael S. Brown,13.4.1941,"New York, NY",United States of America,United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,NA,NA,NA,NA,
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",1.פבר׳,433,Individual,Joseph L. Goldstein,18.4.1940,"Sumter, SC",United States of America,United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,NA,NA,NA,NA,
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",1.פבר׳,435,Individual,Rita Levi-Montalcini,22.4.1909,Turin,Italy,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy,30.12.2012,Rome,Italy,Italy,
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",1.פבר׳,434,Individual,Stanley Cohen,17.11.1922,"Brooklyn, NY",United States of America,United States of America,Male,Vanderbilt University School of Medicine,"Nashville, TN",United States of America,NA,NA,NA,NA,
1987,Medicine,The Nobel Prize in Physiology or Medicine 1987,"""for his discovery of the genetic principle for generation of antibody diversity""",1.ינו׳,436,Individual,Susumu Tonegawa,6.9.1939,Nagoya,Japan,Japan,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,NA,
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",1.מרץ,437,Individual,Sir James W. Black,14.6.1924,Uddingston,Scotland,Scotland,Male,"London University, King's College Hospital Medical School",London,United Kingdom,21.3.2010,NA,NA,NA,
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",1.מרץ,439,Individual,George H. Hitchings,18.4.1905,"Hoquiam, WA",United States of America,United States of America,Male,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,27.2.1998,"Chapel Hill, NC",United States of America,United States of America,
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",1.מרץ,438,Individual,Gertrude B. Elion,23.1.1918,"New York, NY",United States of America,United States of America,Female,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,21.2.1999,"Chapel Hill, NC",United States of America,United States of America,
1989,Medicine,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes""",1.פבר׳,440,Individual,J. Michael Bishop,22.2.1936,"York, PA",United States of America,United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,NA,NA,NA,NA,
1989,Medicine,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes""",1.פבר׳,441,Individual,Harold E. Varmus,18.12.1939,"Oceanside, NY",United States of America,United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,NA,NA,NA,NA,
1990,Medicine,The Nobel Prize in Physiology or Medicine 1990,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",1.פבר׳,442,Individual,Joseph E. Murray,1.4.1919,"Milford, MA",United States of America,United States of America,Male,Brigham and Women's Hospital,"Boston, MA",United States of America,26.11.2012,"Boston, MA",United States of America,United States of America,
1990,Medicine,The Nobel Prize in Physiology or Medicine 1990,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",1.פבר׳,443,Individual,E. Donnall Thomas,15.3.1920,"Mart, TX",United States of America,United States of America,Male,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America,20.10.2012,"Seattle, WA",United States of America,United States of America,
1991,Medicine,The Nobel Prize in Physiology or Medicine 1991,"""for their discoveries concerning the function of single ion channels in cells""",1.פבר׳,444,Individual,Erwin Neher,20.3.1944,Landsberg,Germany,Germany,Male,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Federal Republic of Germany,NA,NA,NA,NA,
